img_name;category;set;dist;extent;slope;pwp_limit;pwp_middle;binary_class
P01_001_0;2;Train;18;0.6684210526315789;-0.06668620445833796;0.5947294776119403;0.5586753731343284;0.0
P01_001_1;1;Train;9;0.47703125;-0.019870467473797237;0.6232585877862595;0.620682251908397;0.0
P01_001_2;1;Train;9;0.4728125;0.004289461039481059;0.5832825203252032;0.5780487804878048;0.0
P01_001_3;1;Train;11;0.48359375;-0.012721562719427508;0.5074497767857142;0.4997767857142857;0.0
P01_002_0;1;Train;4;0.325625;-0.006311658112367198;0.6002728174603175;0.5993055555555555;0.0
P01_002_1;1;Train;8;0.4345486111111111;-0.013331775577065247;0.6111505681818182;0.6080255681818182;0.0
P01_002_2;1;Train;4;0.5196875;-0.0034804959844673892;0.5058293269230769;0.5042367788461538;0.0
P01_002_3;1;Test;5;0.41067708333333336;-0.014356940351661246;0.5045372596153846;0.5032151442307692;0.0
P01_003_0;1;Train;4;0.5025;0.0022493377929386745;0.5098907766990292;0.5081917475728155;0.0
P01_003_1;1;Train;5;0.5856770833333333;0.011406037956184731;0.4953125;0.4918811274509804;0.0
P01_003_2;1;Train;5;0.4861979166666667;-0.005797307473479094;0.5089242788461539;0.5079627403846154;0.0
P01_003_3;1;Train;9;0.5325;-0.017217272587501022;0.5829637096774194;0.5760080645161291;0.0
P01_004_0;1;Train;5;0.30911458333333336;0.012207140251438774;0.503452380952381;0.5028571428571429;0.0
P01_004_1;1;Train;13;0.34765625;-0.0007928581571112749;0.48584070796460177;0.4768528761061947;0.0
P01_004_2;1;Train;5;0.5901041666666667;0.010814089424531912;0.6036778846153846;0.6002403846153846;0.0
P01_004_3;1;Train;23;0.4942708333333333;-0.08901016415009762;0.5219002016129032;0.48823084677419354;0.0
P01_005_0;1;Test;30;0.3372983870967742;0.08100521787495425;0.4739109848484849;0.44680397727272725;0.0
P01_005_1;1;Test;9;0.67015625;0.00872327590181824;0.49758771929824563;0.4868421052631579;0.0
P01_005_2;1;Train;8;0.4579861111111111;0.007946271789191401;0.5155654761904762;0.511875;0.0
P01_005_3;1;Train;9;0.319375;0.020035273652927763;0.4837215909090909;0.479375;0.0
P01_006_0;1;Test;4;0.468125;-0.006925858658990674;0.5979080578512397;0.596875;0.0
P01_006_1;1;Test;3;0.5625;0.0025895884991649605;0.5073118932038835;0.5073118932038835;0.0
P01_006_2;1;Train;5;0.53203125;-0.00976399255481238;0.5115685096153846;0.5084435096153846;0.0
P01_006_3;1;Train;4;0.6921875;-0.0035045313734878595;0.509375;0.5018203883495146;0.0
P01_007_0;1;Train;4;0.41875;0.0049552037729846555;0.645988475177305;0.644281914893617;0.0
P01_007_1;1;Train;6;0.4763392857142857;-0.011230634890664216;0.640447695035461;0.6382313829787234;0.0
P01_007_2;1;Train;10;0.5396306818181819;-0.012776665212363304;0.50875;0.4991761363636364;0.0
P01_007_3;1;Test;3;0.55;-0.005389293373193711;0.492218137254902;0.492218137254902;0.0
P01_008_0;1;Train;5;0.63515625;-0.004580374230179679;0.5079026442307693;0.5040865384615385;0.0
P01_008_1;1;Train;16;0.7711397058823529;0.00016856346698238884;0.5560564159292035;0.5177820796460177;0.0
P01_008_2;1;Train;7;0.60859375;-0.0035079990814615;0.508578431372549;0.5043504901960785;0.0
P01_008_3;1;Train;11;0.5020833333333333;-0.023141060619421398;0.5051032110091743;0.49719036697247704;0.0
P01_009_0;1;Test;8;0.5362847222222222;0.011153905105516176;0.6281944444444445;0.6234259259259259;0.0
P01_009_1;1;Train;4;0.535625;-0.0019632818233748846;0.5060396634615385;0.5026442307692308;0.0
P01_009_2;1;Test;6;0.42232142857142857;-0.011834140010142989;0.5139583333333333;0.5092261904761904;0.0
P01_009_3;1;Test;12;0.6265625;-0.0044500208227997474;0.5338016055045871;0.5200401376146789;0.0
P01_010_0;1;Train;6;0.5341517857142857;0.012039023749841024;0.6537373310810811;0.648902027027027;0.0
P01_010_1;1;Test;6;0.3908482142857143;0.009442057794498169;0.6174207089552238;0.615508395522388;0.0
P01_010_2;1;Test;7;0.4810546875;0.021554195579166616;0.6275;0.6249776785714286;0.0
P01_010_3;1;Train;4;0.554375;0.010947886521233904;0.6416970802919708;0.6378193430656934;0.0
P01_011_0;1;Train;6;0.4473214285714286;0.01107915848676263;0.5013521634615384;0.49963942307692305;0.0
P01_011_1;2;Train;15;0.7376953125;0.03238904801971205;0.5245959051724138;0.49410021551724137;0.0
P01_011_2;1;Train;8;0.6388888888888888;0.013441075502274663;0.5025892857142857;0.4892559523809524;0.0
P01_011_3;1;Test;5;0.425;0.005668558141171731;0.4958431603773585;0.49525353773584907;0.0
P01_012_0;1;Train;3;0.326953125;-0.00574200050646763;0.5030637254901961;0.5030637254901961;0.0
P01_012_1;1;Train;6;0.4142857142857143;-0.007479584648367659;0.5039583333333333;0.5023511904761905;0.0
P01_012_2;1;Train;12;0.353125;0.020717425009710824;0.4793911637931034;0.4714439655172414;0.0
P01_012_3;1;Train;4;0.4446875;-0.005215989696431891;0.5070691747572815;0.5057949029126214;0.0
P01_013_0;1;Train;12;0.5036057692307693;0.026127340460533797;0.574560546875;0.56669921875;0.0
P01_013_1;1;Train;4;0.379375;0.0069510949599593825;0.49420509708737864;0.49302184466019416;0.0
P01_013_2;1;Train;5;0.5041666666666667;0.004308888874482458;0.4907451923076923;0.48954326923076924;0.0
P01_013_3;1;Train;9;0.5309375;-0.002548231708480655;0.5067849099099099;0.5007038288288288;0.0
P01_014_0;1;Train;3;0.238671875;0.004057200378057308;0.494751213592233;0.494751213592233;0.0
P01_014_1;2;Train;11;0.272265625;0.0011631703330660873;0.4847377232142857;0.48038504464285714;0.0
P01_014_2;1;Train;3;0.42421875;-0.003812261164125967;0.6242016423357665;0.6242016423357665;0.0
P01_014_3;2;Train;6;0.39441964285714287;-0.012915410770240252;0.49788773148148147;0.49453125;0.0
P01_015_0;1;Test;6;0.2970982142857143;0.012762142200061326;0.4914209905660377;0.4887676886792453;0.0
P01_015_1;2;Train;13;0.6370535714285714;-0.019181643519391327;0.5360227272727273;0.5194886363636364;0.0
P01_015_2;2;Test;37;0.43310032894736844;-0.03716607419140253;0.5041977611940298;0.47159514925373136;0.0
P01_015_3;1;Test;8;0.5100694444444445;-0.011968870285403936;0.5200892857142857;0.5124702380952381;0.0
P01_016_0;1;Train;4;0.4784375;0.0006253610534468146;0.5085119047619048;0.5066666666666667;0.0
P01_016_1;1;Train;6;0.10491071428571429;-0.00982943625880845;0.49754901960784315;0.4963235294117647;0.0
P01_016_2;1;Train;8;0.6086805555555556;0.01492260061919504;0.6315140845070423;0.6232174295774648;0.0
P01_016_3;1;Train;7;0.7197265625;-0.010502417804955467;0.6439298561151079;0.637455035971223;0.0
P01_017_0;1;Train;19;0.670625;0.02145565027333177;0.6026682692307692;0.5810817307692308;0.0
